firstname, lastname, dob
Randy,Garza,5/18/1989
Roger,McBride,9/24/1989
Mattie,Greer,11/8/1966
Rena,Craig,8/10/1995
Alice,Lewis,4/15/1975
Logan,Harrison,8/12/1963
Franklin,Murray,10/3/1958
Charlie,Dennis,6/6/1996
Elva,Fuller,7/30/2000
Tom,Douglas,1/16/1958
Beulah,Patrick,4/10/1996
Carolyn,Sparks,7/5/1961
Ollie,Ballard,5/2/1990
Pauline,Byrd,10/28/1989
Mittie,Powers,3/18/1984
Ray,Watkins,3/6/1962
Phillip,Fuller,5/17/1994
Raymond,Obrien,10/12/1996
Emily,Walters,11/24/1965
Lee,Ballard,6/18/1981
Leonard,Palmer,11/9/1989
Brian,Garza,5/4/1968
Alejandro,Hudson,4/24/1962
Roxie,Tyler,5/31/1965
Cynthia,Sanchez,1/10/1962
Katherine,Gregory,11/3/1961
Todd,Wood,5/13/1978
Johnny,Ferguson,12/1/1972
Sally,Gibson,11/27/1995
Daniel,Ross,10/30/1994
Curtis,Weber,9/16/1963
Randy,Warren,8/23/1992
Hester,Cortez,12/30/1971
Evan,Guerrero,9/12/1967
Duane,Wilkins,8/11/1976
Jeffrey,Shelton,3/20/1971
Louisa,Brady,3/13/1974
Adele,Robbins,9/1/1984
Gene,Briggs,11/25/1967
Eunice,Ortega,9/29/1996
Steven,Pratt,3/25/1991
Ruby,Murray,6/26/1959
Ellen,Rose,3/19/1990
Amy,Ramirez,5/2/1999
Alex,Figueroa,10/28/1970
Mathilda,Hawkins,3/29/1986
Lilly,Marshall,10/9/1985
Lula,Briggs,3/27/1970
Micheal,Douglas,8/18/1979
Sara,Knight,10/24/1985
Kevin,Wells,5/29/1968
Cole,Silva,3/24/1999
Ophelia,Padilla,10/27/1972
Evelyn,Munoz,12/15/1957
Dominic,Wagner,10/21/1968
Max,Guzman,1/4/1973
Elnora,Taylor,2/19/1986
Ophelia,Shaw,6/19/1974
Sadie,Oliver,7/23/2003
Mabel,Byrd,6/15/1969
Lucy,Martinez,1/20/1961
Lillian,Ortiz,3/10/1971
Janie,Parker,5/2/1993
Jane,Valdez,9/30/1963
Edward,Foster,4/6/1985
Aaron,Dixon,1/30/1979
Rhoda,Griffith,5/21/1965
Bertie,Greer,12/1/1969
Mitchell,Vega,10/19/1995
Nathan,Cunningham,6/28/1981
Eleanor,Garza,2/4/1990
Zachary,Alvarado,6/4/1977
Louise,Norton,10/23/1968
Violet,Phillips,7/13/1964
Juan,Guzman,1/7/1971
Leroy,Mason,2/5/1993
Clara,Torres,2/25/1963
Shawn,Hayes,3/18/1977
Marvin,Marsh,12/6/1985
Amy,Delgado,12/15/1987
Willie,Evans,2/17/1996
Robert,Patrick,10/3/1969
Henrietta,Hardy,9/28/1989
Essie,Martinez,6/25/1977
Minerva,Ellis,11/15/1996
Harriet,Stokes,7/2/1961
Maggie,Graves,10/17/1972
Don,Meyer,3/9/1994
Myrtie,Allison,2/26/1964
Raymond,Francis,8/23/1962
Eunice,Greene,11/5/1971
Kenneth,Carroll,8/10/1963
Chase,Jacobs,3/13/2000
Joseph,Sparks,4/2/2002
Andre,West,6/3/1965
Kate,Ross,3/27/1974
Louisa,Briggs,6/21/1962
Billy,Wallace,6/27/1971
Lula,Mullins,12/11/1994
Clarence,Chavez,11/5/1993
Mark,Barnett,12/3/1966
Leah,Woods,10/24/1992
Estella,Ray,12/18/1969
Steve,Scott,8/6/1972
Mason,Barnett,5/25/1987
Francis,Medina,3/12/1975
Trevor,Singleton,2/17/1997
Lelia,Brooks,2/13/1973
Leona,Henry,6/4/1989
Phillip,Floyd,2/4/1973
Francis,McDaniel,6/3/2000
Marcus,Francis,8/6/1958
Sean,Christensen,12/3/1993
Addie,Caldwell,10/13/1976
Bill,Mason,5/22/1969
Kevin,Cox,5/16/1959
Myrtle,Stevens,3/28/1970
Leon,Conner,10/2/1991
Aiden,Wise,2/27/1957
Eunice,Schultz,7/30/1973
Elva,Alexander,6/26/1990
Glenn,Johnson,8/13/2000
Rodney,Barker,3/28/1977
Dennis,Pearson,4/24/2000
Mittie,Barker,10/21/1983
Lawrence,Buchanan,3/31/1971
Sara,Parsons,5/14/1983
Gerald,Wise,8/9/1995
Sophie,Thompson,1/27/1993
Augusta,Ferguson,4/23/1977
Curtis,Floyd,6/13/1996
Mamie,Sims,12/22/1998
Loretta,Maxwell,10/16/1979
Jerry,Peters,4/6/1995
Evan,Gibbs,4/3/1978
Rachel,Moreno,4/23/1990
Addie,Fleming,4/24/2000
Logan,Porter,12/1/1969
Anthony,Rodriguez,10/1/1983
Emily,McCormick,9/20/2000
Devin,Patrick,7/29/1979
Benjamin,Williams,5/26/1974
Alice,Stevenson,8/11/1962
Mike,Henry,9/23/1972
Nell,Garza,12/27/1995
Cora,Carroll,7/6/1970
Lois,Bishop,6/10/1997
Katherine,Murray,2/24/2004
Julia,Fields,10/15/1968
Julian,Harvey,12/16/1972
Esther,Patterson,11/23/1975
Susan,Harper,11/12/1991
Thomas,Briggs,4/11/2001
Clara,Drake,6/19/2000
Cameron,Williams,1/20/2002
Clyde,Craig,11/3/1994
Myrtie,Maxwell,6/3/1996
Phoebe,Henderson,5/14/1972
Mary,Todd,5/30/1960
Lou,Potter,6/20/1978
Don,Boyd,1/5/2000
Minerva,Douglas,12/24/1958
Aaron,Blake,2/9/1978
Ellen,Norris,6/9/1995
Hunter,Ortiz,1/27/1966
Leo,Strickland,5/21/1965
Mary,Sullivan,9/10/1979
Adelaide,Rogers,4/5/1976
Steven,Stevenson,7/22/1993
Leonard,McDaniel,8/5/2001
Leroy,Santiago,6/26/1977
Austin,Hogan,9/6/2001
Luella,Rice,7/25/1977
Fanny,Bishop,5/4/2003
Thomas,Hoffman,4/15/1958
Alexander,Andrews,11/25/1987
Ida,Bowman,12/30/1962
Mason,Herrera,2/25/1987
Edna,Delgado,12/21/1964
Abbie,Parker,6/30/1998
Ricardo,Willis,8/6/1961
Adelaide,French,1/14/1965
Myra,Jennings,4/10/1974
Lillie,Paul,3/18/1983
Sophie,Mendoza,4/28/1969
Joe,Carpenter,11/27/1993
Wayne,Bradley,5/7/1974
Maurice,Price,2/23/1962
Nannie,Conner,4/15/1967
Daisy,McGee,3/2/1990
Elijah,Watkins,9/5/1967
Viola,Taylor,8/4/2000
Mabelle,Warren,9/28/1986
Edgar,Moss,6/24/1965
Charlotte,Cortez,8/2/1995
Celia,Bennett,9/4/1981
Hattie,Bradley,9/11/1962
Albert,Reed,7/25/1977
Julian,Roberts,11/8/1958
Sadie,Wong,5/30/1987
Rosie,Hansen,8/2/2001
Theresa,Quinn,9/8/1973
Troy,Joseph,8/22/1970
Amelia,Graham,6/26/1977
Barbara,Blair,1/9/1975
Nathaniel,Parsons,9/20/1978
Kyle,Mann,4/5/1957
Jimmy,Sandoval,6/9/2003
Benjamin,Price,2/16/1978
Kate,Hawkins,5/17/1996
Ora,Gilbert,4/23/1993
Mario,Floyd,7/7/1963
Kevin,Marshall,10/1/1967
Jean,Barber,3/30/1993
Ada,Schwartz,3/31/2003
Dominic,Ramsey,9/19/1986
Jeremiah,Townsend,7/22/1959
Daisy,Barker,12/14/2004
Katharine,Garner,5/3/1991
Lula,Howell,6/10/1986
Jared,Lyons,4/25/1990
Marcus,Sanchez,10/11/1991
Jorge,Richardson,11/6/1988
Tillie,Sparks,9/16/1994
Angel,Pittman,11/27/1974
Emily,Sanchez,7/15/1964
Wesley,Payne,2/28/1978
Adele,Houston,8/16/1974
Isabelle,Hughes,11/7/1979
Nathaniel,Moore,4/12/1998
Sally,Porter,11/4/1997
Danny,Richards,4/1/1988
Polly,Blake,3/22/1964
Cecelia,Pierce,10/20/1981
Lula,Garrett,8/20/1986
Travis,Sparks,6/28/1979
Rena,Oliver,3/22/2003
Winnie,Hill,6/5/1997
Stephen,McKenzie,7/4/1992
Elnora,Chandler,9/24/1964
Dale,Martin,8/9/1962
Pauline,Potter,10/4/1967
Alta,Rice,4/5/1989
Sophie,Holloway,2/4/1968
Ricardo,Underwood,12/14/1966
Micheal,Wade,10/30/1977
Clifford,Miller,10/12/2004
Juan,Nunez,3/13/1991
Shawn,Pope,1/8/1981
Florence,Malone,11/15/1997
Jeremiah,Schneider,5/3/1993
Eugene,Dean,4/14/1964
Adeline,Patterson,7/4/1975
Craig,Lewis,10/22/1959
Abbie,Osborne,7/21/1993
Elva,Thompson,4/5/1988
Caleb,Moody,11/18/1967
Estelle,Burke,3/24/1998
Marguerite,Newton,4/25/1972
Vera,McGee,11/19/1968
Hallie,Doyle,6/8/1984
Callie,Logan,11/3/1987
Kevin,Collier,5/15/1970
George,Casey,12/7/1995
James,Hughes,1/12/1987
Susan,Kelley,2/27/1982
Viola,Castro,5/2/1963
Harvey,McLaughlin,7/10/1972
Mayme,Roberson,3/2/1983
Jane,Curry,8/11/2004
Dennis,Hardy,9/14/1995
Cameron,Holmes,6/4/1970
Isaiah,Banks,4/18/1991
Nellie,Todd,11/28/1961
Matthew,Gordon,8/13/1964
Nina,Allen,4/17/1995
Tony,Owens,6/15/1965
Margaret,Briggs,11/3/1982
Eliza,Hansen,5/10/1992
Garrett,Moody,12/18/1975
Floyd,Stokes,1/22/1982
Russell,Oliver,12/25/1994
Bernard,Baldwin,3/1/1959
Randall,Marshall,5/30/1977
Gordon,Stewart,2/10/1985
Louise,Delgado,2/14/1969
Inez,Sparks,8/7/1958
Oscar,Harrington,9/15/1991
Iva,Hodges,4/9/1973
Georgie,Phillips,5/1/1991
Mollie,Cox,11/2/1973
Mary,Evans,7/11/1993
Blanche,Tate,8/8/1982
Belle,Ferguson,6/16/1999
Cynthia,McCormick,11/10/1972
Lula,Porter,8/24/1981
Luke,Jones,5/29/1981
Katie,Marsh,1/21/1965
Winnie,Vasquez,7/3/1975
Max,Cummings,7/2/1975
Nelle,Payne,8/25/1979
Alejandro,Mendoza,11/7/2000
Logan,Lyons,11/29/1959
Derrick,McKinney,4/21/1964
Celia,Hansen,7/13/1995
Fannie,Townsend,5/14/1978
Minerva,Howell,5/20/1983
Lottie,Perkins,7/7/1982
Albert,Perry,7/6/1979
Adrian,Fleming,2/12/1964
Jeremy,Chavez,11/4/1975
Leon,Campbell,5/19/1997
Rodney,Carson,1/14/1958
Robert,Peterson,9/28/1983
Charlotte,Thomas,9/17/1968
Clyde,Russell,9/20/1965
Randall,Keller,5/25/1996
Jason,Holland,9/24/1986
Derrick,Rodgers,4/9/1993
Iva,Thornton,4/8/2000
Stephen,Evans,10/29/1972
Francis,Mack,8/6/2000
Isabella,Wade,9/14/1990
Alexander,Stevens,11/12/1967
Lola,Ingram,7/10/1988
Brent,McDaniel,12/10/1994
Edwin,Sims,11/28/2000
Elizabeth,Farmer,3/11/1970
Jason,McGuire,12/7/2001
Dylan,Sutton,1/16/1970
Max,Mitchell,4/17/1985
Lucas,Cannon,10/9/2002
Ethan,Peters,11/14/1974
Kathryn,Andrews,4/5/1995
Cody,Schwartz,3/23/1986
Tommy,Malone,5/16/1959
Ernest,Ryan,4/22/1974
Blanche,Gross,3/23/1990
Nellie,Gomez,5/9/1959
Henry,Peters,4/22/1993
Claudia,Cooper,1/19/2000
Jorge,Griffin,8/4/1966
Jim,Clark,8/8/2003
Hunter,Rhodes,1/28/2001
Luis,Stevens,12/14/1967
Cole,Waters,10/16/1964
Alice,Schwartz,9/16/1980
Jeffery,Cooper,7/1/2003
Jay,Higgins,7/30/1965
Andrew,Gomez,7/13/1957
Cornelia,Chandler,6/2/1994
Henrietta,Woods,10/30/1982
Harvey,Armstrong,6/5/2001
Kate,Lamb,2/15/1980
Andrew,Chambers,1/4/1992
Clifford,Jones,12/18/1981
Edward,Barnes,3/10/1964
Glenn,Franklin,4/17/2003
Dale,Reid,4/22/1982
Ella,Maxwell,10/21/2000
Charlie,Hansen,8/10/1996
Dorothy,Frazier,9/16/1967
Evan,Underwood,7/24/1968
Belle,Reid,3/27/1959
Martha,Sutton,12/13/1969
Lizzie,West,2/10/1977
Ida,Sherman,5/23/1995
Chester,Gordon,3/20/1969
Willie,Pierce,10/10/1962
Francis,Mitchell,7/13/1991
Caroline,Gross,1/16/1963
Delia,Mann,3/8/1981
Bobby,Barker,9/1/1968
Mike,Burns,8/8/1958
Mable,Salazar,12/5/1974
Hunter,Keller,10/2/1992
Alvin,Bailey,4/29/1973
Ruby,Rowe,8/11/1957
Olive,Weber,1/4/1967
Claudia,Moss,6/11/1993
Gordon,Cox,10/18/1995
Mamie,Bell,1/26/1992
Jay,Holmes,10/4/2000
Ora,Waters,10/5/1994
Lillie,Woods,3/21/1982
Gene,Jones,8/9/1996
Olga,Schneider,8/29/1965
Luke,Nguyen,5/26/1980
Isabel,Ellis,5/16/1962
Mable,Harvey,2/11/1968
Steve,Silva,1/3/1973
Anthony,Berry,10/8/1995
Owen,Parks,11/4/1980
Eugenia,Snyder,7/17/2001
Sue,Sherman,1/18/1981
Francis,Shaw,10/19/1960
Cordelia,Berry,12/26/1972
Ian,Green,11/9/1976
Trevor,Boone,9/29/1996
Iva,Franklin,1/15/1987
Johnny,Sanders,8/1/1970
Carlos,Perkins,10/21/1981
Willie,Maxwell,3/15/2003
Glen,Cunningham,1/25/1959
Abbie,Spencer,3/28/1989
Rebecca,Olson,6/8/2003
Kyle,Silva,1/13/1959
Clifford,Moody,6/7/1967
Edgar,James,7/20/2004
Chris,Watkins,2/2/1964
Sam,Young,8/8/1987
Carrie,Buchanan,8/13/1958
Billy,Barnes,4/3/1989
Edith,Page,7/10/2001
Clyde,Adams,10/23/1996
Clyde,Sparks,4/21/1979
Danny,Maldonado,2/27/1989
Leo,Francis,5/24/1986
Arthur,Weber,7/9/2001
Cameron,Roberson,8/23/1981
Lester,Richards,6/15/2002
Francisco,Page,2/1/1963
May,Todd,9/23/1999
Lee,Foster,9/11/1966
John,Mason,2/17/1971
Francis,Mann,6/7/1967
Cora,Rios,10/11/1979
Jeff,Kelly,8/4/1985
Bryan,Greene,2/12/1990
Bryan,Jefferson,6/5/1994
Lula,McCoy,12/31/1965
Nicholas,Ward,12/1/2003
Joe,Fernandez,11/28/1957
Terry,Weber,9/14/1964
Charlie,Morrison,2/6/1958
Jonathan,Ellis,1/31/1977
Joe,Larson,12/1/1989
Bertie,Simon,12/31/1965
Agnes,Alvarez,11/6/1960
Gerald,Reynolds,8/18/1972
Julia,Strickland,4/10/1969
Lucas,Reynolds,7/16/1958
Mitchell,Simpson,8/15/1962
Ella,Little,11/3/1998
Dennis,Lane,3/12/1989
Justin,Jefferson,9/12/2002
Cory,Torres,8/8/1981
Amy,Rhodes,9/7/1961
Luella,Chandler,7/4/1992
Blake,Reeves,1/6/1975
Edwin,Figueroa,8/21/1980
Viola,Alexander,2/4/1967
Bertie,Graham,6/19/1961
Nellie,Perez,5/21/1972
Birdie,Jackson,11/15/1973
Fred,Houston,3/7/1962
Nicholas,Haynes,5/6/1974
Franklin,Logan,9/6/1971
Johanna,Wise,8/26/1987
Elmer,Fletcher,10/21/2003
Marvin,Burke,7/4/1996
Todd,Watkins,3/1/2002
Mina,Duncan,7/15/1978
Beatrice,Rose,7/27/1964
Virginia,Walsh,4/4/1983
Genevieve,Fox,12/20/1979
Bruce,Knight,3/12/1971
Chad,Garner,3/13/1999
Gary,Marsh,1/3/1992
Andre,Fields,2/4/1961
Della,Dixon,5/10/1973
Kate,Ryan,5/7/2002
Roger,Watson,12/8/2004
Amelia,Rodriguez,3/12/1961
Ricardo,Hunt,7/30/2001
Susie,Gonzalez,9/24/1963
Catherine,Davis,10/26/1972
Bobby,Garner,10/9/1967
Alvin,Ingram,9/23/1968
Gavin,Soto,7/19/1961
Tyler,Murray,6/8/2000
Patrick,Rivera,2/7/1987
Cordelia,Knight,9/4/1978
Logan,Gill,10/22/1988
Olivia,Martin,3/14/1991
Genevieve,Neal,11/19/1981
Donald,Atkins,12/27/2004
Mabelle,Ramos,4/11/1980
Pauline,Hill,3/9/1998
Catherine,Henry,8/12/1965
Isabelle,Ramirez,1/10/2004
Randy,Harrington,10/24/1963
Viola,Schwartz,12/28/1968
Lura,Flowers,2/2/1990
Polly,Morales,1/15/1988
Nancy,Banks,6/28/1963
Mathilda,Dean,12/5/1990
Travis,Burton,2/21/1978
Theodore,Barber,1/22/1998
Jimmy,Jimenez,3/16/1994
Marcus,Young,8/16/1974
Jay,Barton,7/7/1982
Hilda,Lloyd,7/7/1985
Dennis,Hudson,6/18/1962
Angel,Walton,10/21/1996
